fat-8-1;6949;3399;56;47280
fat-10-1;10444;7076;75;101030
fat-12-1;15411;16229;120;165958
fat-14-1;26338;28032;158;256443
fat-16-1;45364;51010;215;346390
fat-18-1;47717;86845;254;491946
fat-20-1;72236;131311;334;685295
fat-22-1;72143;198404;400;870870
fat-24-1;98162;289636;440;1096039
fat-26-1;117426;473909;674;1404279
fat-28-1;150685;630053;596;1702865
fat-30-1;173652;830657;708;1999784
fat-32-1;218327;1157545;973;2542286
fat-34-1;272794;1396369;1124;2792223
fat-36-1;252791;1786246;1170;3454362
fat-38-1;309112;2172367;1175;3977490
fat-40-1;347193;2698222;1162;4347023
fat-42-1;393818;3287970;1284;5197764
fat-44-1;454413;4176768;1609;6267853
fat-46-1;529735;4851986;1633;6822502
fat-48-1;538354;5687746;1764;7797456
fat-50-1;621917;6684011;2154;8241399
fat-52-1;657196;8315961;2037;10971436
fat-54-1;935894;11317958;2751;14124413
fat-56-1;1035702;13605988;3227;15252338
fat-58-1;1114188;15643189;2776;16327832
fat-60-1;1277031;17434904;2951;17425877
fat-62-1;1388919;19455016;3133;20212545
fat-64-1;1483580;28055413;4361;28798380
fat-66-1;2128081;30457038;3733;30427235
fat-68-1;2092158;33983302;3867;32914112
fat-70-1;2642763;40381400;4065;35701600
fat-72-1;2819222;50606946;5851;36827546
fat-74-1;2413148;44550022;4704;36186416
fat-76-1;3410888;63642502;6369;48417579
fat-78-1;3785423;70381879;6667;52287216
fat-80-1;3818755;77346362;7180;56369104
fat-82-1;4389005;86320238;7342;60645996
fat-84-1;4451758;80838047;5996;44495936
fat-86-1;3619504;77579400;6072;47649729
fat-88-1;3638069;85774731;6548;63747586
fat-90-1;5788055;119656376;6637;54421432
fat-92-1;4090470;101503543;6917;58080201
fat-94-1;4670701;111238759;7224;61914870
fat-96-1;4640759;121008080;7556;65954396
fat-98-1;5241048;132402088;8053;70061117
fat-100-1;5195046;145050205;8128;74480009
fat-102-1;5899679;157609752;8469;97951158
fat-104-1;7994181;231727029;11311;121815970
fat-106-1;9054992;251176945;12184;126804974
fat-108-1;8822919;253869721;9474;93338137
fat-110-1;7281152;216244910;10107;98522601
fat-112-1;7145008;229599654;10182;103872182
fat-114-1;8050645;247934570;10529;109578056
fat-116-1;7891989;349941833;14448;168679496
fat-118-1;12299871;400692529;14922;177530709
fat-120-1;12131353;427784025;15438;176069198
fat-122-1;9781394;334034605;12328;133979067
fat-124-1;11409945;444384532;16488;191511455
fat-126-1;15131074;492678068;16908;211097139
fat-128-1;14392454;559941029;18019;221128422
fat-130-1;16189500;599435135;17639;231455903
fat-132-1;16621134;641322269;19180;242917843
fat-134-1;18196712;683594598;19175;253664967
fat-136-1;18887285;724040112;19839;264402738
fat-138-1;19696818;770242474;20373;276811754
fat-140-1;20735286;653666517;14901;189990688
fat-142-1;14776750;605041919;15235;197429327
fat-144-1;15291765;644670663;16206;205646385
fat-146-1;16699980;683066849;16644;215127211
fat-148-1;16549703;732556372;17127;224303052
fat-150-1;18648526;773745438;17015;233085702
fat-152-1;17571359;807034153;17962;241953156
fat-154-1;20104217;855235608;17905;259847603
fat-156-1;20357073;1027113894;20126;323937948
fat-158-1;23892024;1131055924;23784;377510444
fat-160-1;25567610;1215379037;23465;346898663
fat-162-1;27278708;1209673037;21249;358200907
fat-164-1;25384869;1358281718;27623;413701280
fat-166-1;30270387;1290869051;21514;333331243
fat-168-1;24984498;1291231771;26883;346754977
fat-170-1;27932932;1361250710;22510;357653811
fat-172-1;26531256;1416463523;24369;371606676
fat-174-1;30107448;1490851300;26045;383857704
fat-176-1;28462280;1554644196;24936;396374989
fat-178-1;32371680;1639464934;24801;410828169
fat-180-1;30458542;1732998061;26474;426798868
fat-182-1;34283024;1816029528;25778;440164668
fat-184-1;32216488;1880290171;27630;453316579
fat-186-1;36353794;1969781959;30001;469005688
fat-188-1;34458752;2069013584;27397;487994700
fat-190-1;39575728;2162677099;28067;501922114
fat-192-1;36307381;2251627120;29570;516860056
fat-194-1;40828350;2352574924;29184;535389509
fat-196-1;39058869;2537771577;30593;612307767
fat-198-1;45081312;2736551735;34026;820899187
