rand-100-1;8678809;8566213;1757;20907577
rand-100-2;10955864;5617255;1365;16466755
rand-100-3;8446162;8051021;1254;17356419
rand-100-4;11412658;10080490;1802;21681030
rand-100-5;11564515;14624753;1906;20344892
rand-100-6;9965128;8357374;1558;16904029
rand-100-7;7787286;4201748;1506;16416731
rand-100-8;11416341;5675289;1418;15656493
rand-100-9;10671235;8052577;1498;17678656
rand-100-10;10597598;12581770;1983;22912059
rand-100-11;7243497;10655442;1865;15665378
rand-100-12;8964823;11318675;1917;21153042
rand-100-13;10316068;11741533;1973;19773783
rand-100-14;8353545;9019049;1629;16770308
rand-100-15;8062663;4128107;1391;13818698
rand-100-16;7608464;3218193;1041;11121955
rand-100-17;7716636;4115035;1173;12109853
rand-100-18;9032719;5477801;1323;13039744
rand-100-19;7894871;5893179;1283;13324111
rand-100-20;7838249;4614285;1359;13710319
rand-100-21;7486204;7473812;1476;14657491
rand-100-22;7314441;3611599;1038;11216208
rand-100-23;7581160;3332979;1063;10911924
rand-100-24;7620446;7174343;1335;14282755
rand-100-25;7717790;7482053;1335;13882796
rand-100-26;7654039;6926049;1347;13988079
rand-100-27;8320166;5370420;1219;12516303
rand-100-28;7515705;4624469;1142;11989454
rand-100-29;8112455;8427215;1401;15174595
rand-100-30;8077857;4358501;1106;11576142
rand-100-31;8454596;8306247;1779;19944260
rand-100-32;8963468;11931547;1891;22825446
rand-100-33;10316462;6217354;1502;18191724
rand-100-34;9914906;6551792;1596;18073728
rand-100-35;10657134;8048469;1626;19798604
rand-100-36;10650515;6028407;1413;16296969
rand-100-37;10164015;10677117;1646;18853310
rand-100-38;11037328;7934961;1530;18083721
rand-100-39;10352939;7020237;1415;16852539
rand-100-40;10580463;8607399;1728;20492263
rand-100-41;10506746;6624244;1487;17830067
rand-100-42;11957336;8318187;1588;17434828
rand-100-43;11330907;11223433;1691;18198824
rand-100-44;10835524;6943826;1686;19167744
rand-100-45;10886953;14242005;1971;23390148
rand-100-46;10495205;7325823;1577;18702210
rand-100-47;11380920;9754261;1651;19225593
rand-100-48;11326496;8889250;1714;20879537
rand-100-49;10334581;7227113;1542;17937149
rand-100-50;10733326;10437771;1848;22144196
rand-100-51;10216313;8767407;1579;18400018
rand-100-52;10301696;7654974;1506;17561744
rand-100-53;10583774;12241760;1919;23198791
rand-100-54;10815480;5664728;1468;17577157
rand-100-55;9950545;9083673;1871;21298719
rand-100-56;11208914;9072274;1467;18156289
rand-100-57;10542681;7044415;1525;17773635
rand-100-58;10095083;8436095;1695;19612659
rand-100-59;10651495;13563170;2126;24876203
rand-100-60;10041133;7955731;1503;18669493
rand-100-61;10216401;9974334;1691;20863028
rand-100-62;10861371;16583316;2015;24186197
rand-100-63;11324725;4709064;1705;19323528
rand-100-64;10007237;5405641;1465;16796259
rand-100-65;10231372;9128771;1610;19885071
rand-100-66;9717483;12479624;1958;22178995
rand-100-67;9807522;7596337;1399;17277032
rand-100-68;10116355;8657467;1678;19936785
