rand-8-1;6803;4253;55;50318
rand-8-2;6349;2971;50;54337
rand-8-3;6472;2175;43;48905
rand-8-4;9936;2987;50;45988
rand-8-5;5730;2664;44;52920
rand-8-6;7593;2657;47;44794
rand-8-7;6698;3597;58;57383
rand-8-8;6576;3379;58;54650
rand-10-1;10945;4920;68;86492
rand-10-2;12541;7630;89;123114
rand-10-3;13460;4255;69;80377
rand-10-4;12295;6632;80;102216
rand-10-5;12025;6995;81;111071
rand-10-6;12645;5047;63;82825
rand-10-7;11854;6530;90;102069
rand-10-8;10912;4704;66;100987
rand-10-9;10156;4092;62;84241
rand-10-10;13334;8877;91;125581
rand-12-1;32991;10703;101;123022
rand-12-2;16685;15290;166;182121
rand-12-3;20726;8894;105;145558
rand-12-4;19778;13708;114;191422
rand-12-5;18629;13291;106;178892
rand-12-6;22535;9140;106;139322
rand-12-7;19350;14517;157;184745
rand-12-8;20528;8527;88;146366
rand-12-9;17673;9243;87;139691
rand-12-10;17883;17035;127;211181
rand-12-11;24015;12189;115;179022
rand-12-12;24457;11107;143;163563
rand-14-1;29131;16346;118;230239
rand-14-2;22539;29438;209;295929
rand-14-3;25636;12597;114;200987
rand-14-4;25135;30255;171;296448
rand-14-5;24146;24797;152;289837
rand-14-6;26711;12504;97;191419
rand-14-7;33678;14858;109;203253
rand-14-8;25351;18184;130;243137
rand-14-9;21415;13611;104;189124
rand-14-10;25481;38530;222;327113
rand-14-11;25292;15864;134;244104
rand-14-12;28911;15018;122;223638
rand-14-13;31194;28414;171;289008
rand-14-14;24342;11779;105;187361
rand-16-1;37409;47175;255;353971
rand-16-2;33449;60833;301;500304
rand-16-3;42139;17574;163;259183
rand-16-4;43356;37951;290;504899
rand-16-5;48245;49757;272;442442
rand-16-6;40255;25314;160;272083
rand-16-7;38984;21012;188;301419
rand-16-8;40440;34836;208;342434
rand-16-9;31211;25268;165;263541
rand-16-10;44484;49365;215;416150
rand-16-11;38874;24949;173;293041
rand-16-12;39997;21264;162;283793
rand-16-13;49617;39473;206;451637
rand-16-14;32876;22508;184;314840
rand-16-15;44068;43515;253;394392
rand-16-16;42730;49317;223;398746
rand-18-1;54940;59758;280;516214
rand-18-2;50506;102568;301;688493
rand-18-3;64121;30652;201;331034
rand-18-4;74669;51288;249;448264
rand-18-5;55790;71049;256;588414
rand-18-6;53623;38082;165;379797
rand-18-7;47669;47330;218;528920
rand-18-8;66943;53833;235;440502
rand-18-9;51526;45138;181;403913
rand-18-10;51748;72702;322;564035
rand-18-11;52325;46443;250;482190
rand-18-12;52558;28400;193;364424
rand-18-13;55841;65008;255;558253
rand-18-14;47924;32318;196;387617
rand-18-15;53714;53430;258;526691
rand-18-16;53065;74567;225;557380
rand-18-17;71989;27199;187;349187
rand-18-18;65200;28579;158;357328
rand-20-1;62024;99065;275;711072
rand-20-2;69141;96878;284;656990
rand-20-3;84022;54487;193;520822
rand-20-4;75743;45154;187;477007
rand-20-5;67778;52183;206;504906
rand-20-6;66481;55860;204;512580
rand-20-7;66576;75112;254;607367
rand-20-8;69166;68150;241;671111
rand-20-9;99808;79428;271;625597
rand-20-10;100802;89406;278;653314
rand-20-11;73382;65601;225;575060
rand-20-12;71071;45930;188;472754
rand-20-13;77439;88331;389;955511
rand-20-14;96680;63110;280;634931
rand-20-15;91442;40741;213;420562
rand-20-16;66206;63040;243;606379
rand-20-17;70474;26546;158;394097
rand-20-18;66928;43331;193;441864
rand-20-19;67649;73265;231;604956
rand-20-20;84457;112817;303;753147
rand-22-1;92987;75317;272;886371
rand-22-2;96666;61159;215;579039
rand-22-3;100043;53986;203;538609
rand-22-4;95840;63610;252;632407
rand-22-5;91562;75291;240;624013
rand-22-6;86596;83163;248;628580
rand-22-7;92603;98536;373;805665
rand-22-8;86867;48617;186;494764
rand-22-9;94942;118080;290;770997
rand-22-10;95916;96232;305;747660
rand-22-11;95054;89673;252;732662
rand-22-12;90304;41413;182;508104
rand-22-13;86086;74607;257;654676
rand-22-14;95417;79580;241;652355
rand-22-15;93860;56417;218;561352
rand-22-16;95484;49184;206;529135
rand-22-17;109948;34709;180;492328
rand-22-18;92053;105389;351;769738
rand-22-19;90563;98941;263;709295
rand-22-20;92016;83430;243;685807
rand-22-21;82813;78755;290;630227
rand-22-22;115276;71163;241;625803
rand-24-1;141274;113739;381;1050383
rand-24-2;138696;83399;258;714430
rand-24-3;110811;73051;216;647932
rand-24-4;115154;89629;223;647005
rand-24-5;125865;50892;211;582312
rand-24-6;114273;112771;289;803089
rand-24-7;123623;116517;299;905096
rand-24-8;116537;51594;193;582052
rand-24-9;116995;105615;283;836161
rand-24-10;125599;131812;304;912605
rand-24-11;123281;105975;281;1024451
rand-24-12;133779;55092;279;670893
rand-24-13;111469;147161;308;984681
rand-24-14;113205;79551;239;784524
rand-24-15;119963;84872;269;736329
rand-24-16;117975;68843;217;633486
rand-24-17;117477;110007;296;819138
