fat-8-1;1.882353;167
fat-10-1;2.661290;402
fat-12-1;2.836364;630
fat-14-1;1.699422;597
fat-16-1;2.575758;1182
fat-18-1;2.465425;1861
fat-20-1;3.040331;3299
fat-22-1;5.790510;7933
fat-24-1;7.922847;20324
fat-26-1;7.548387;18681
fat-28-1;8.634686;30093
fat-30-1;11.121883;51783
fat-32-1;11.235449;60622
fat-34-1;11.441875;74455
fat-36-1;13.627394;112712
fat-38-1;16.503838;217895
fat-40-1;15.832709;244776
fat-42-1;14.720621;288548
fat-44-1;14.167184;340427
fat-46-1;13.270562;388866
fat-48-1;13.836368;478883
fat-50-1;12.118445;493455
fat-52-1;12.755091;609348
fat-54-1;4.258778;142696
fat-56-1;12.863649;851675
fat-58-1;3.968791;174081
fat-60-1;3.917293;197683
fat-62-1;5.739335;331271
fat-64-1;4.742278;306476
fat-66-1;4.526413;316556
fat-68-1;4.547358;370806
fat-70-1;5.388883;477528
fat-72-1;5.361404;523591
fat-74-1;5.216190;569581
fat-76-1;4.232689;519601
fat-78-1;5.112947;697963
fat-80-1;5.108668;755572
fat-82-1;5.009570;909479
fat-84-1;3.994541;760941
fat-86-1;4.899192;1026027
fat-88-1;3.889982;870074
fat-90-1;4.800750;1172297
fat-92-1;3.794878;980946
fat-94-1;4.820748;1258448
fat-96-1;4.673205;1413817
fat-98-1;4.555802;1391884
fat-100-1;4.534836;1473028
fat-102-1;4.470235;1582130
fat-104-1;4.447419;1669045
fat-106-1;4.388955;1767434
fat-108-1;4.367909;1878745
fat-110-1;4.314092;2002667
fat-112-1;4.294627;2119866
fat-114-1;4.245607;2243637
fat-116-1;4.441229;2409550
fat-118-1;4.373957;2574486
fat-120-1;4.375065;2724738
fat-122-1;4.312469;2829328
fat-124-1;4.312052;2994908
fat-126-1;4.253153;3163537
fat-128-1;4.056884;3220043
fat-130-1;4.021153;3389562
fat-132-1;4.007302;3522309
fat-134-1;3.973865;3703073
fat-136-1;3.960845;3885454
fat-138-1;3.901487;4111301
fat-140-1;3.891543;4318258
fat-142-1;3.862908;4507235
fat-144-1;3.851666;4684900
fat-146-1;3.825094;4938672
fat-148-1;3.814456;5131819
fat-150-1;3.789387;5572236
fat-152-1;3.779307;5599378
fat-154-1;3.755962;5825048
fat-156-1;3.771546;6077349
fat-158-1;3.749058;6361802
fat-160-1;3.716645;6556280
fat-162-1;3.695964;6845089
fat-164-1;3.687259;7085151
fat-166-1;3.667620;7982096
fat-168-1;3.659318;7689773
fat-170-1;3.640926;8779295
fat-172-1;3.632993;8394624
fat-174-1;3.615477;8962158
fat-176-1;3.607892;8951816
fat-178-1;3.591445;9218460
fat-180-1;3.585323;9554217
fat-182-1;3.569595;9903184
fat-184-1;3.562605;10253221
fat-186-1;3.547803;10637025
fat-188-1;3.541092;10931408
fat-190-1;3.526927;11331756
fat-192-1;3.520479;11730539
fat-194-1;3.507122;12195888
fat-196-1;3.520416;12625419
fat-198-1;3.507374;13081091
fat-200-1;2.944015;13699090
